@name,enabled,type,nameUi,order,weight,cost,costMod,crew,model,scale,group,mountPoints,countries,param,stats,caliber,#caliberInch,barrels,hullWeightRatio,sectionsMin,sectionsMax,tonnageMin,tonnageMax,maxAllowedCaliber,beamMin,beamMax,draughtMin,draughtMax,beamCoef,draughtCoef,speedLimiter,minMainTurrets,minMainBarrels,#comment,#comment2,#cost_base,#cost_base_mod
b2_germanyexport,,hull,Battleship II,,-1,-1,0.85,450,brandenburg_hull_b,1.025,,,china,"type(bb), CA_Friedrich, g1, old_predread, var(middle_balcony_2)","hsize(260), hull_form(54), stability(64), floatability(55), endurance(43), spot(0), turn(40), vis(4600), beam(0), draught(0)",,,,0.105,0,1,9700,11900,18,,,,,,,18,2,3,,17.5,-1,
b1_germanyexport,,hull,Battleship I,,-1,-1,0.8,500,brandenburg_hull_b,0.95,,,china,"type(bb), B_Brandenburg_small, g1, old_predread, var(middle_flat)","hsize(240), hull_form(55), stability(59), floatability(51), endurance(40), spot(0), turn(40), vis(4400), beam(0), draught(0)",,,,0.118,0,1,8750,10750,18,,,,,,,17.5,2,2,,17,-1,
b_1,,hull,Battleship I,,-1,-1,,400,irresistible_hull_b,1.025,,,"britain, japan, greece, chile, korea","type(bb), B, bb, g1","hsize(390), hull_form(72), stability(60), floatability(55), endurance(55), spot(0), turn(55), vis(4900), beam(0), draught(0)",,,,0.1926,2,5,10000,15000,18,,,,,,,18,2,2,,17.5,-1,
b_1_usa,,hull,Battleship I,,-1,-1,0.9,450,irresistible_hull_b,1.13,,,usa,"type(bb), B_usa_early, bb, g1","hsize(380), hull_form(65), stability(40), floatability(60), endurance(69), spot(0), turn(47), vis(5250), beam(0), draught(0)",,,,0.2033,2,5,11000,16000,18,,,,,,,18,2,2,,17.5,-1,
b1_russiaold,,hull,Battleship I,,-1,-1,0.75,500,brandenburg_hull_a,1.055,,,"russia, spain, italy, brazil","type(bb), B_Brandenburg, g1","hsize(1800), hull_form(58), stability(40), floatability(47), endurance(73), spot(0), turn(36), vis(4750), beam(0), draught(0)",,,,0.11,1,3,10900,17000,18,,,,,,,18,2,2,,17.5,-1,
b_3_austria,,hull,Battleship III,,-1,-1,1.15,420,irresistible_hull_a,1.2,,,"austria, netherlands","type(bb), Austria_B_Hapsburg, bb, g1","hsize(1500), hull_form(63), stability(68), floatability(55), endurance(76), spot(0), turn(45), vis(4900), beam(0), draught(0)",,,,0.2,3,4,12000,16000,18,,,,,,,18.2,2,2,,17.7,-1,
b_2_austria,,hull,Battleship II,,-1,-1,1.12,400,irresistible_hull_a,1,,,"austria, netherlands","type(bb), Austria_B_Hapsburg, bb, g1","hsize(1390), hull_form(62), stability(66), floatability(50), endurance(75), spot(0), turn(44), vis(4900), beam(0), draught(0)",,,,0.19,3,4,10500,13900,18,,,,,,,18.2,2,2,,17.7,-1,
b_1_austria,,hull,Battleship I,,-1,-1,,400,irresistible_hull_c,0.94,,,"austria, argentina","type(bb), Austria_B, bb, g1","hsize(390), hull_form(69), stability(63), floatability(52), endurance(59), spot(0), turn(50), vis(4600), beam(0), draught(0)",,,,0.18,2,4,8000,11500,18,,,,,,,18,2,2,,17.5,-1,
b1_tsesarevich_france,,hull,Battleship IV,,-1,-1,,540,tsesarevich_hull_a,1,,,"france, portugal","type(bb), B_Bouvet, old_predread, earlybb_sideguns, g1","hsize(190), hull_form(42), stability(60), floatability(30), endurance(98), spot(0), turn(28), vis(4250), beam(0), draught(0)",,,,0.1826,2,4,9000,16000,18,,,,,,,18,2,2,,17.5,-1,
b1_germany,,hull,Battleship I,,-1,-1,0.85,400,brandenburg_hull_b,1,,,"germany, ottoman","type(bb), B_Brandenburg, g1, old_predread, var(middle_balcony)","hsize(250), hull_form(53), stability(62), floatability(55), endurance(43), spot(0), turn(40), vis(4700), beam(0), draught(0)",,,,0.11,0,1,9250,11750,18,,,,,,,18.4,2,2,,17.9,-1,
b1_bouvet2,,hull,Battleship III,,-1,-1,,530,bouvet_hull_b,1,,,"france, portugal","type(bb), B_Bouvet, old_predread, earlybb_sideguns, g1","hsize(490), hull_form(47), stability(58), floatability(38), endurance(85), spot(0), turn(38), vis(4450), beam(0), draught(0)",,,,0.165,2,4,9500,16500,18,,,,,,,18.5,2,2,,18,-1,
b1_bouvet,,hull,Battleship II,,-1,-1,,500,bouvet_hull_a,1,,,france,"type(bb), B_Bouvet, old_predread, earlybb_sideguns, g1","hsize(490), hull_form(46), stability(55), floatability(35), endurance(92), spot(0), turn(33), vis(4350), beam(0), draught(0)",,,,0.165,2,4,9000,16000,18,,,,,,,18.5,2,2,,18,-1,
b1_brennus,,hull,Battleship I,,-1,-1,,480,bouvet_hull_c,1,,,france,"type(bb), B_Brennus, old_predread, earlybb_sideguns, g1","hsize(390), hull_form(45), stability(62), floatability(40), endurance(75), spot(0), turn(43), vis(4150), beam(0), draught(0)",,,,0.16,3,5,8100,11500,18,,,,,,,18.4,2,2,,17.9,-1,
b1_massena_var1,,hull,Ironclad Battleship III,,-1,-1,,450,bouvet_hull_d,1,,,france,"type(bb), B_Massena, old_predread, earlybb_sideguns, g1","hsize(590), hull_form(39), stability(53), floatability(34), endurance(95), spot(0), turn(27), vis(4050), beam(0), draught(0)",,,,0.155,3,5,8400,11800,18,,,,,,,18.2,2,2,,17.7,-1,
b1_massena_var3,,hull,Ironclad Battleship II,,-1,-1,,420,massena_hull_b,1,,,"france, portugal","type(bb), B_Massena, old_predread, earlybb_sideguns, g1","hsize(390), hull_form(43), stability(54), floatability(37), endurance(92), spot(0), turn(25), vis(3950), beam(0), draught(0)",,,,0.155,2,4,8250,10900,18,,,,,,,18,2,2,,17.5,-1,
b1_massena_var2,,hull,Ironclad Battleship I,,-1,-1,,380,massena_hull_a,1,,,"france, portugal","type(bb), B_Massena, old_predread, earlybb_sideguns, g1","hsize(390), hull_form(41), stability(57), floatability(36), endurance(98), spot(0), turn(23), vis(3850), beam(0), draught(0)",,,,0.155,4,6,8050,10600,18,,,,,,,18,2,2,,17.5,-1,
b1_germany_mission2,,hull,Battleship II,,-1,-1,0.85,450,brandenburg_hull_b,1.025,,,germany,"type(bb), CA_Friedrich, g1, var(middle_balcony_2)","hsize(170), hull_form(54), stability(64), floatability(55), endurance(43), spot(0), turn(40), vis(4600), beam(0), draught(0)",,,,0.11,0,1,9700,12700,18,,,,,,,18,2,2,,17.5,-1,
b1_germany_mission,,hull,Old Pre-Dreadnought,,-1,-1,0.85,400,brandenburg_hull_b,1,,,germany,"type(bb), B_Brandenburg, g1, var(middle_balcony)","hsize(160), hull_form(53), stability(62), floatability(55), endurance(43), spot(0), turn(40), vis(4400), beam(0), draught(0)",,,,0.11,0,1,9250,11750,18,,,,,,,18,2,2,,17.5,-1,
b1_3mast_spain,,hull,Modified Barbette Ship,,-1,-1,0.7,300,gazelle_hull_mast_d,0.97,,,"spain, netherlands","type(bb), BB_Pelayo, bb, g1, g2, earlybb_sideguns","hsize(550), hull_form(40), stability(55), floatability(55), endurance(68), spot(0), turn(35), vis(4850), beam(0), draught(0)",,,,0.31,1,3,8000,10000,18,,,-5,12.5,,,16.2,2,2,,15.7,-1,
b_1_usa_var_exp2,,hull,Experimental Battleship II,,-1,-1,,300,irresistible_hull_b_lowfreeboard,1.085,,,usa,"type(bb), B_Kearsarge, bb, g1","hsize(480), hull_form(55), stability(40), floatability(57), endurance(64), spot(0), turn(43), vis(4250), beam(0), draught(0)",,,,0.18,4,7,11000,13500,18,-5,20,,,,,16.6,2,2,,16.1,-1,
b_1_usa_var_exp1,,hull,Experimental Battleship I,,-1,-1,,300,dreadnought_hull_c_oldbb,1.055,,,"usa, netherlands","type(bb), B_Indiana_var, old_predread, bb, g1, var(stern_step)","hsize(750), hull_form(50), stability(65), floatability(55), endurance(75), spot(0), turn(33), vis(4000), beam(0), draught(0)",,,,0.16,4,6,10500,12500,18,,,,,,,16.5,2,4,,16,-1,
b_1_usa_var,,hull,Small Battleship,,-1,-1,,300,maine_hull_a,1.3,,,"usa, netherlands","type(bb), B_Indiana_var, old_predread, earlybb_sideguns, bb, g1","hsize(450), hull_form(57), stability(68), floatability(47), endurance(64), spot(0), turn(15), vis(3900), beam(0), draught(0)",,,,0.12,5,7,8050,10700,18,-5,20,-5,15,,,16.7,2,2,,16.2,-1,
b_1_italian_3mast,,hull,Small Battleship,,-1,-1,0.7,350,irresistible_hull_b_var2,1,,,"italy, argentina","type(bb), B_Italian, bb, g1","hsize(450), hull_form(55), stability(65), floatability(52), endurance(61), spot(0), turn(42), vis(4500), beam(0), draught(0)",,,,0.25,0,1,9000,10500,18,,,,,,,16.9,2,2,,16.4,-1,
b_1_italian_Large_3mast,,hull,Experimental Battleship,,-1,-1,0.7,350,irresistible_hull_b_var3,1.12,,,"italy, argentina","type(bb), B_Italian, B_Italian_Large, bb, g1","hsize(450), hull_form(45), stability(71), floatability(40), endurance(70), spot(0), turn(33), vis(4500), beam(0), draught(0)",,,,0.3,0,1,12500,14200,20,,,,,,,15.5,2,2,,15,-1,
b1_maine,,hull,Coastal Defense Ship,,-1,-1,,100,maine_hull_c,1,,,"usa, greece, brazil, portugal","type(bb), B_Maine, Gun_Sides, g1","hsize(190), hull_form(40), stability(42), floatability(30), endurance(55), spot(0), turn(45), vis(3150), beam(0), draught(0)",,,,0.13,6,9,6100,8500,15,,,,,,,17,2,3,,16.5,-1,
b1_maine_varsides,,hull,Experimental Turret Ship,,-1,-1,,100,maine_hull_e,1.1,,,"china, brazil, portugal","type(bb), B_Maine, Gun_Sides_Single, g1","hsize(190), hull_form(38), stability(44), floatability(30), endurance(53), spot(0), turn(42), vis(3250), beam(0), draught(0)",,,,0.13,5,8,5750,8200,15,,,,,,,17,2,2,,16.5,-1,
b1_maine_varsmall,,hull,Turret Ship,,-1,-1,,100,maine_hull_d,1.145,,,"china, argentina","type(bb), B_Maine, Gun_Sides, g1","hsize(190), hull_form(40), stability(44), floatability(27), endurance(50), spot(0), turn(45), vis(2950), beam(0), draught(0)",,,,0.13,6,9,5500,7500,15,,,,,,,16.7,3,3,,16.2,-1,
bc_7_britain,,hull,Super Battlecruiser,,-1,-1,1.475,800,hood_hull_a_wide,1.285,,,"britain, korea","type(bc), BC_British_Super, Mixed_Quads, bc, g4","hsize(6000), hull_form(110), stability(80), floatability(95), endurance(90), spot(0), turn(70), vis(8200), beam(0), draught(0)",,,,0.235,2,4,67500,82500,20,,,,,,,39.5,3,6,,39,-1,
bb_usa_north_carolina,,hull,Fast Battleship,,-1,-1,1.6,950,kgeorge_hull_a,1.05,,,"usa, argentina","type(bc), BB_NorthCarolina, Middle_SuperStructure, Big_SuperStructure, Mixed_Quads, bc, g4, Typical_Modern_BB, quad_guns_need","hsize(3300), hull_form(89), stability(79), floatability(87), endurance(73), spot(0), turn(30), vis(8000), beam(0), draught(0)",,,,0.15,2,4,47000,62500,,-9.5,10.5,-20.5,18.5,0.73,0.625,32,3,6,,31.5,-1,
bc_6_generic,,hull,Fast Battleship,,-1,-1,1.6,800,bismarck_hull_a,1.05,,,"russia, spain, italy, austria, china, chile, korea","type(bc), BB_Fast_Modern, Mixed_Quads, Middle_Big, bc, g4","hsize(2000), hull_form(89), stability(90), floatability(83), endurance(89), spot(0), turn(35), vis(8800), beam(0), draught(0)",,,,0.217,3,5,45000,75000,18,,,,,,,32.5,3,6,,32,-1,
bc_6_stalin,,hull,Experimental Battlecruiser,,-1,-1,1.45,800,richelieu_hull_b,0.96,,,russia,"type(bc), BC_Stalingrand, Middle_SuperStructure, bc_guns, bc, g4","hsize(3600), hull_form(99), stability(87), floatability(75), endurance(83), spot(0), turn(65), vis(8300), beam(0), draught(0)",,,,0.205,4,5,41000,51000,15,,,,,,,39.5,3,6,,39,-1,
bc_6_germany,,hull,Hybrid Battleship,,-1,-1,1.9,800,bismarck_hull_a_tall,0.84,,,germany,"type(bc), BC_Scharnhorst, bc, small_bc, g4","hsize(2500), hull_form(90), stability(95), floatability(85), endurance(101), spot(0), turn(43), vis(8500), beam(0), draught(0)",,,,0.21,3,5,38000,55500,18,,,,,,,32,3,6,,30.7,-1,
bc_5_germany,,hull,Modern Battlecruiser,,-1,-1,1.45,800,bismarck_hull_a,0.84,,,"germany, netherlands","type(bc), BC_Modern_German, small_bc, bc, g4","hsize(1900), hull_form(100), stability(78), floatability(74), endurance(77), spot(0), turn(50), vis(8100), beam(0), draught(0)",,,,0.189,4,6,34000,49000,18,,,,,,,36.5,3,6,,36,-1,
bc_6_japan,,hull,Modern Battlecruiser II,,-1,-1,1.55,800,moga_hull_a_var2,1.2,,,japan,"type(bc), BB_Izumo, Middle_SuperStructure, bc, g4","hsize(1700), hull_form(112), stability(65), floatability(70), endurance(67), spot(0), turn(75), vis(7150), beam(0), draught(0)",,,,0.197,1,3,38500,54000,18,,,,,,,36.5,3,6,,36,-1,
bc_5_japan,,hull,Modern Battlecruiser I,,-1,-1,1.45,800,invincible_hull,1.15,,,"japan, korea","type(bc), BC_Modern_Japan, Middle_SuperStructure, bc, g4","hsize(1500), hull_form(105), stability(70), floatability(80), endurance(70), spot(0), turn(75), vis(7650), beam(0), draught(0)",,,,0.18,3,5,36000,51000,18,,,,,,,35.5,3,6,,35,-1,
bc_5_kongo,,hull,Modernized Battlecruiser,,-1,-1,1.45,800,fuso_hull_b,1,,,japan,"type(bc), BC_Modernized_Japan, bc, g3, battlecruiser_forward, barbette_need, RussianCenterline","hsize(2400), hull_form(90), stability(75), floatability(84), endurance(97), spot(0), turn(55), vis(8200), beam(0), draught(0)",,,,0.21,4,6,42500,57500,18,,,,,,,30.5,3,6,,30,-1,
bc_5_usa,,hull,Modern Battlecruiser,,-1,-1,1.45,800,iowa_hull_a,0.755,,,"usa, argentina","type(bc), BC_Modern, bc, No_Barb, g4, bc_guns","hsize(1500), hull_form(99), stability(75), floatability(85), endurance(79), spot(0), turn(60), vis(8200), beam(0), draught(0)",,,,0.185,3,5,35000,50000,,,,,,,,31.5,3,6,,31,-1,
bc_5_russia2,,hull,Modern Battlecruiser,,-1,-1,1.45,800,bismarck_hull_a,0.87,,,russia,"type(bc), BC_Modern_Russia2, Middle_SuperStructure, bc_guns, bc, g4","hsize(1600), hull_form(100), stability(83), floatability(79), endurance(80), spot(0), turn(45), vis(8300), beam(0), draught(0)",,,,0.193,3,5,33000,47000,18,,,,,,,33.5,3,6,,33,-1,
bc_6_italy,,hull,Modern Battlecruiser II,,-1,-1,1.45,800,littorio_hull_a,0.827,,,"italy, brazil","type(bc), BC_Littorio, Side_Barbettes, Middle_SuperStructure, Mixed_Quads, var(stern_a), bc, g4","hsize(4800), hull_form(109), stability(70), floatability(74), endurance(77), spot(0), turn(68), vis(7550), beam(0), draught(0)",,,,0.2,5,7,39500,54500,18,,,,,,,33.5,3,6,,33,-1,
bc_5_russia,,hull,Modern Battlecruiser I,,-1,-1,1.45,800,bismarck_hull_a,0.87,,,"spain, italy, austria, china","type(bc), BC_Modern_Russia, Middle_SuperStructure, bc_guns, bc, g3","hsize(1600), hull_form(100), stability(83), floatability(79), endurance(80), spot(0), turn(45), vis(8300), beam(0), draught(0)",,,,0.193,3,5,33000,47000,18,,,,,,,32.5,3,6,,32,-1,
bc_4_britain_g3,,hull,G3 Battlecruiser,,-1,-1,1.45,700,kgeorge_hull_b,1,,,"britain, greece","type(bc), BB_British_G3, bc, g3, battlecruiser_forward, barbette_need, Nelson","hsize(2950), hull_form(104), stability(75), floatability(65), endurance(75), spot(0), turn(60), vis(7800), beam(0), draught(0)",,,,0.2,2,4,42500,55500,18,-5,22,-5,22,,,33,3,6,,32.5,-1,
bc_6_britain,,hull,Modernized Battlecruiser,,-1,-1,1.45,800,hood_hull_a_wide,1.15,,,britain,"type(bc), BC_British_Modernized, Mixed_Quads, bc, g4","hsize(5000), hull_form(110), stability(75), floatability(90), endurance(72), spot(0), turn(72), vis(8200), beam(0), draught(0)",,,,0.18,3,5,40000,53000,18,,,,,,,37.5,3,6,,37,-1,
bc_5_britain,,hull,Battlecruiser VI,,-1,-1,1.2,750,hood_hull_a,1.1,,,"britain, portugal","type(bc), BC_Hood, BC_ForeCastle, Mixed_Quads, Middle_SuperStructure, bc, g4","hsize(4300), hull_form(110), stability(70), floatability(90), endurance(68), spot(0), turn(77), vis(8000), beam(0), draught(0)",,,,0.16,3,5,37500,50000,18,,,,,,,37.5,3,6,,37,-1,
bc_7_france,,hull,Experimental Battlecruiser II,,-1,-1,1.55,900,richelieu_hull_b,0.905,,,"france, portugal","type(bc), BB_France_Flat, Middle_SuperStructure, small_bc, bc, g4","hsize(4550), hull_form(103), stability(84), floatability(82), endurance(86), spot(0), turn(50), vis(8250), beam(0), draught(0)",,,,0.16,3,5,45000,65000,18,,,,,,,36.5,3,6,,36,-1,
bc_6_france,,hull,Experimental Battlecruiser I,,-1,-1,1.45,850,richelieu_hull_b,0.84,,,"france, greece, portugal","type(bc), BB_Modern_Richelieu_Big, Middle_SuperStructure, small_bc, bc, g4","hsize(4250), hull_form(105), stability(82), floatability(79), endurance(82), spot(0), turn(55), vis(8050), beam(0), draught(0)",,,,0.15,4,6,40000,60000,18,,,,,,,35.5,3,6,,35,-1,
bc_5_france,,hull,Battlecruiser IV,,-1,-1,1.45,750,richelieu_hull_a,0.88,,,"france, portugal","type(bc), BC_Modern_Richelieu, Only_Quads, French_Style_Quads, quad_guns_need, bc, g4","hsize(4050), hull_form(99), stability(80), floatability(77), endurance(91), spot(0), turn(49), vis(7850), beam(0), draught(0)",,,,0.16,2,4,35000,45000,18,,,,,,,33.5,2,8,,33,-1,
bc_5_italy,,hull,Large Cruiser II,,-1,-1,1.45,750,richelieu_hull_b,0.775,,,"italy, brazil","type(bc), Large_Cruiser_Italy, Middle_SuperStructure, small_bc, bc, g4","hsize(3750), hull_form(105), stability(77), floatability(75), endurance(88), spot(0), turn(55), vis(7450), beam(0), draught(0)",,,,0.179,5,7,32500,42500,18,,,,,,,38.5,3,6,,38,-1,
bc_4_france,,hull,Large Cruiser,,-1,-1,1.45,550,yamato_hull_a,0.62,,,"france, portugal","type(bc), Large_Cruiser_Henri, Middle_SuperStructure, small_bc, bc, g4, var(Smaller_Barbettes)","hsize(2000), hull_form(102), stability(75), floatability(90), endurance(70), spot(0), turn(65), vis(7900), beam(0), draught(0)",,,,0.16,5,6,28000,32500,18,,,,,,,36.5,3,6,,36,-1,
bc_4_german,,hull,Large Cruiser,,-1,-1,1.45,550,bismarck_hull_a,0.86,,,"germany, netherlands","type(bc), CA_Heavy_German, small_bc, ca, g4","hsize(2360), hull_form(105), stability(90), floatability(79), endurance(89), spot(0), turn(56), vis(8500), beam(0), draught(0)",,,,0.24,2,3,30500,37000,18,,,,,,,35.5,3,6,,35,-1,
bc_4_generic2,,hull,Large Cruiser,,-1,-1,1.45,550,dreadnought_hull_flat_b,1.155,,,britain,"type(bc), CA_British_LargeCruiser, Middle_SuperStructure, bc, g4, var(center_mounts), small_bc2, generic_middle_tower","hsize(2300), hull_form(95), stability(84), floatability(93), endurance(78), spot(0), turn(50), vis(8500), beam(0), draught(0)",,,,0.22,2,3,30500,36000,18,,,,,,,29.5,3,6,,29,-1,
bc_4_generic,,hull,Large Cruiser II,,-1,-1,1.45,550,dreadnought_hull_flat_b,1.125,,,"spain, china","type(bc), CA_Heavy_Generic2, Middle_SuperStructure, No_Barb, small_bc, bc, bc_guns, g4, var(center_mounts), generic_middle_tower","hsize(1800), hull_form(99), stability(80), floatability(90), endurance(75), spot(0), turn(55), vis(8400), beam(0), draught(0)",,,,0.22,2,3,29500,35000,18,,,,,,,29.5,3,6,,29,-1,
bc_4_generic_small,,hull,Large Cruiser I,,-1,-1,1.45,550,de_Ruyter_hull_a_wide,1.18,,,"spain, china, chile, korea, netherlands, argentina","type(bc), CA_Heavy_Small_Generic, Middle_SuperStructure, small_bc, bc, g3, g4","hsize(1800), hull_form(100), stability(70), floatability(70), endurance(65), spot(0), turn(65), vis(7400), beam(0), draught(0)",,,,0.166,5,7,22500,28000,12,,,,,,,28.5,3,6,,28,-1,
bc_4_japan,,hull,Large Cruiser,,-1,-1,1.45,550,yamato_hull_a,0.65,,,japan,"type(bc), CA_Heavy_Japan2, Middle_SuperStructure, small_bc, bc, g4, var(Smaller_Barbettes)","hsize(1800), hull_form(102), stability(75), floatability(90), endurance(70), spot(0), turn(65), vis(7900), beam(0), draught(0)",,,,0.21,6,7,29500,35000,18,,,,,,,36.5,3,6,,36,-1,
bc_4_austria,,hull,Large Cruiser,,-1,-1,1.45,550,bismarck_hull_a,0.789,,,austria,"type(bc), CA_Large_Austria, Middle_SuperStructure, small_bc, No_Barb, bc, g4","hsize(3000), hull_form(100), stability(85), floatability(73), endurance(85), spot(0), turn(45), vis(8300), beam(0), draught(0)",,,,0.195,4,6,28000,39000,18,,,,,,,31.5,3,6,,31,-1,
bc_5_austrian_pocket,,hull,Large Armored Cruiser,,-1,-1,1.6,550,brooklyn_hull_c_wide,1.02,,,"austria, netherlands, argentina","type(bc), Warship_Austrian_Pocket, CA_Pocket, Middle_SuperStructure, bc, g3, g4","hsize(1100), hull_form(85), stability(75), floatability(71), endurance(105), spot(0), turn(45), vis(7000), beam(0), draught(0)",,,,0.25,3,5,22000,29000,13,,,,,,,25.5,2,6,,25,-1,
bc_4_russia,,hull,Large Cruiser,,-1,-1,1.45,550,bismarck_hull_a,0.82,,,russia,"type(bc), CA_Large_Russia, Middle_SuperStructure, small_bc, bc, g4","hsize(3000), hull_form(95), stability(82), floatability(71), endurance(90), spot(0), turn(40), vis(8300), beam(0), draught(0)",,,,0.205,3,5,28000,39000,18,,,,,,,31.5,3,6,,31,-1,
bc_4_usa,,hull,Large Cruiser,,-1,-1,1.45,550,iowa_hull_a,0.69,,,"usa, argentina","type(bc), CA_Heavy_USA, Middle_SuperStructure, small_bc, No_Barb, bc, g4, var(Smaller_Barbettes), bc_guns","hsize(1500), hull_form(95), stability(85), floatability(90), endurance(80), spot(0), turn(55), vis(8100), beam(0), draught(0)",,,,0.22,3,5,29000,37000,,,,,,,,33.5,3,6,,33,-1,
bc_4_italy,,hull,Large Cruiser I,,-1,-1,1.45,550,trento_hull,1.2675,,,"italy, brazil","type(bc), BC_Modern_Italy, No_Barb, small_bc, bc_guns, bc, g4, var(middle_boats)","hsize(2300), hull_form(105), stability(80), floatability(89), endurance(75), spot(0), turn(50), vis(8000), beam(0), draught(0)",,,,0.2,4,5,25000,36500,18,,,,,,,37.5,3,6,,37,-1,
bc_5_japan_scout,,hull,Experimental Cruiser,,-1,-1,1.5,450,moga_hull_c,1.175,,,japan,"type(bc), BC_Scout_Mogami, Middle_SuperStructure, bc, g4","hsize(3600), hull_form(115), stability(65), floatability(74), endurance(57.5), spot(0), turn(90), vis(4000), beam(0), draught(0)",,,,0.179,7,9,24000,27600,12,,,,,,,32.5,3,6,,32,-1,
bc_4_britain_adv,,hull,Battlecruiser V,,-1,-1,1.175,700,hood_hull_a,1,,,"britain, portugal","type(bc), BB_British_Advanced, bc, g3, g4, Mixed_Quads","hsize(2500), hull_form(93), stability(74), floatability(73), endurance(57), spot(0), turn(69), vis(7400), beam(0), draught(0)",,,,0.18,3,4,33500,37500,18,,,,,,,32.5,3,6,,32,-1,
bc_4_britain,,hull,Battlecruiser V,,-1,-1,1.1,700,invincible_hull,1.24,,,"italy, china, spain, russia, ottoman, brazil","type(bc), BC_BritainSuper, bc, g3","hsize(2000), hull_form(90), stability(77), floatability(75), endurance(60), spot(0), turn(62), vis(7600), beam(0), draught(0)",,,,0.21,1,3,33000,45000,18,,,,,,,29.4,3,6,,28.9,-1,
bc_4_kongo,,hull,Battlecruiser V,,-1,-1,1.1,700,fuso_hull_a,1,,,japan,"type(bc), BB_Fuso_Old, BB_Fuso_sec, bc, g3, battlecruiser_forward, barbette_need, RussianCenterline","hsize(2400), hull_form(106), stability(65), floatability(74), endurance(77), spot(0), turn(75), vis(7800), beam(0), draught(0)",,,,0.2,4,6,36500,43500,18,,,,,,,30.4,3,8,,29.9,-1,
bc_4_izmail,,hull,Battlecruiser IV,,-1,-1,1.05,650,von_der_tan_hull_b_tall2,1.3,,,russia,"type(bc), BB_Italy_Old, Izmail_Specials, bc, g3, Old_Small_Towers, RussianCenterline, RussianCenterline_Old, Small_Foredeck, Russian_Central_Turrets, barbette_need, BC_Britain_Medium","hsize(1800), hull_form(88), stability(67), floatability(70), endurance(80), spot(0), turn(50), vis(8000), beam(0), draught(0)",,,,0.19,3,5,33500,41000,18,,,,,,,27.7,3,9,,27.2,-1,
bc_3_kongo,,hull,Battlecruiser IV,,-1,-1,,650,dreadnought_hull_d_short,1.1,,,"japan, brazil, netherlands","type(bc), BB_Fuso_Old, bc, g3, battlecruiser_forward, barbette_need, RussianCenterline","hsize(2200), hull_form(100), stability(63), floatability(72), endurance(74), spot(0), turn(71), vis(7300), beam(0), draught(0)",,,,0.18,3,6,27500,36500,18,,,,,,,30.2,3,8,,29.7,-1,
bc_3,,hull,Battlecruiser III,,-1,-1,,600,dreadnought_hull_d,1,,,"japan, brazil, portugal, netherlands","type(bc), BC, bc, g3, battlecruiser_forward, barbette_need, RussianCenterline","hsize(1600), hull_form(93), stability(59), floatability(70), endurance(68), spot(0), turn(67), vis(7000), beam(0), draught(0)",,,,0.18,3,6,25000,31000,18,,,,,,,30,3,8,,29.5,-1,
bc_3_britain_adv,,hull,Battlecruiser IV,,-1,-1,1.05,650,dreadnought_hull_c_long,1.235,,,"britain, austria, greece, korea, portugal","type(bc), BB_British_Advanced, barbette_need, bc, g3","hsize(1700), hull_form(88), stability(76), floatability(77), endurance(60), spot(0), turn(60), vis(7700), beam(0), draught(0)",,,,0.1854,2,4,29500,34000,18,,,,,,,29,3,6,,28.5,-1,
bc_3_britain,,hull,Battlecruiser III,,-1,-1,1.05,650,invincible_hull,1.095,,,"britain, usa, france, italy, ottoman, chile, argentina","type(bc), BC_BritainSuper, barbette_need, bc, g3","hsize(1500), hull_form(90), stability(73), floatability(75), endurance(57.5), spot(0), turn(60), vis(7500), beam(0), draught(0)",,,,0.1854,2,4,28500,33000,18,,,,,,,28.5,3,6,,28,-1,
bc_3_izmail,,hull,Battlecruiser III,,-1,-1,1.05,650,von_der_tan_hull_b_tall2,1.185,,,russia,"type(bc), BB_Italy_Old, Izmail_Specials, bc, g3, Old_Small_Towers, RussianCenterline, RussianCenterline_Old, Small_Foredeck, Russian_Central_Turrets, barbette_need","hsize(1500), hull_form(85), stability(63), floatability(70), endurance(77.5), spot(0), turn(50), vis(7800), beam(0), draught(0)",,,,0.1854,3,5,29500,37000,18,,,,,,,27.5,3,9,,27,-1,
bc_4_german_derf,,hull,Battlecruiser V,,-1,-1,,650,dreadnought_hull_c_long,1.375,,,germany,"type(bc), BC_Derfflinger, BC_Derfflinger_Large, bc, g3","hsize(2750), hull_form(88), stability(72), floatability(79), endurance(71), spot(0), turn(70), vis(6700), beam(0), draught(0)",,,,0.2,1,3,35500,44500,18,,,,,,,29.4,3,6,,28.9,-1,
bc_3_german_derf,,hull,Battlecruiser IV,,-1,-1,,600,dreadnought_hull_d_short,1.15,,,germany,"type(bc), BC_Derfflinger, bc, g3","hsize(2450), hull_form(84), stability(75), floatability(77), endurance(75), spot(0), turn(60), vis(6900), beam(0), draught(0)",,,,0.2,2,5,27400,34000,18,,,,,,,28.5,3,6,,28,-1,
bc_3_german,,hull,Battlecruiser III,,-1,-1,,600,von_der_tan_hull_c_tall,1.07,,,"germany, greece","type(bc), BC_VonderTann_Large, Late_Cross_Deck, Small_Foredeck, bc, g2, g3","hsize(1750), hull_form(82), stability(63), floatability(69), endurance(60), spot(0), turn(69), vis(6400), beam(0), draught(0)",,,,0.2,3,5,26000,31000,18,,,,,,,28.4,4,6,,27.9,-1,
